Mon Sep 13 08:53:33 2021, 0, 0, 0, 6, 3630, 0, 7, 3750, 0, 0, 0
Mon Sep 13 08:53:59 2021, 0, 0, 0, 6, 3630, 0, 7, 3750, 0, 0, 0
Mon Sep 13 08:55:00 2021, 0, 0, 0, 6, 3630, 0, 7, 3750, 0, 0, 0
Mon Sep 13 08:56:00 2021, 0, 0, 0, 6, 3630, 0, 7, 3750, 0, 0, 0
Mon Sep 13 08:57:01 2021, 0, 0, 0, 6, 3630, 0, 7, 3750, 0, 41.2903, 0
Mon Sep 13 08:58:01 2021, 0, 0, 0, 6, 3630, 0, 7, 3675, 0, 309.677, 0
Mon Sep 13 08:59:02 2021, 0, 13, 800, 6, 3630, 0, 7, 3600, 0, 320, 1
Mon Sep 13 09:02:16 2021, 0, 52, 800, 6, 3630, 0, 7, 3225, 0, 340.645, 1
Mon Sep 13 09:03:17 2021, 0, 65, 800, 6, 3630, 0, 7, 3225, 0, 340.645, 1
Mon Sep 13 09:04:17 2021, 0, 78, 800, 6, 3630, 0, 7, 3225, 0, 340.645, 1
Mon Sep 13 09:05:18 2021, 0, 91, 800, 6, 3630, 0, 7, 3150, 0, 350.968, 1
Mon Sep 13 09:06:18 2021, 0, 104, 800, 6, 3630, 0, 7, 3150, 0, 350.968, 1
Mon Sep 13 09:07:19 2021, 0, 117, 800, 6, 3630, 0, 7, 3150, 0, 350.968, 1
Mon Sep 13 09:08:20 2021, 0, 130, 800, 6, 3630, 0, 7, 3150, 0, 350.968, 1
Mon Sep 13 10:42:40 2021, 0, 143, 800, 6, 3630, 0, 7, 3150, 0, 350.968, 1
Mon Sep 13 10:43:40 2021, 0, 156, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:44:41 2021, 0, 169, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:45:41 2021, 0, 182, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:46:42 2021, 0, 195, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:47:42 2021, 0, 208, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:48:43 2021, 0, 221, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:49:44 2021, 0, 247, 800, 6, 3630, 0, 7, 3075, 0, 350.968, 1
Mon Sep 13 10:50:44 2021, 0, 260, 800, 6, 3630, 0, 7, 3000, 0, 350.968, 1
Mon Sep 13 10:51:45 2021, 0, 348, 5300, 6, 3630, 0, 7, 3000, 0, 4769.03, 1
Mon Sep 13 10:52:45 2021, 0, 436, 5300, 6, 3630, 0, 7, 2925, 0, 4717.42, 1
Mon Sep 13 10:53:46 2021, 0, 524, 5300, 6, 3630, 0, 7, 2850, 0, 4748.39, 1
Mon Sep 13 10:54:46 2021, 0, 612, 5300, 6, 3630, 0, 7, 2775, 0, 4727.74, 1
Mon Sep 13 10:55:47 2021, 0, 700, 5300, 6, 3630, 0, 7, 2775, 0, 4738.06, 1
Mon Sep 13 10:56:47 2021, 0, 788, 5300, 6, 3630, 0, 7, 2775, 0, 4717.42, 1
Mon Sep 13 10:57:48 2021, 0, 876, 5300, 6, 3630, 0, 7, 2625, 0, 4769.03, 1
Mon Sep 13 10:58:48 2021, 0, 964, 5300, 6, 3630, 0, 7, 2550, 0, 4717.42, 1
